TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P042_01,P042_03,P042_04,P043,P044_01
06,01,01,01,00102,0048,2869697,1,11,2108,2,0.5
06,01,01,01,00102,0049,3591624,1,11,2108,2,0.5
06,01,01,01,00102,0050,3591621,1,11,2108,2,0.5
06,01,01,01,00102,0052,3591640,1,11,2108,2,0.5
06,01,01,01,00102,0053,3591622,1,10,2620,2,0.25
06,01,01,01,00102,0053,3591622,2,5,2612,2,0.25
06,01,01,01,00102,0053,3591622,3,6,2345,2,0.25
06,01,01,01,00102,0053,3591622,4,11,2108,2,1.25
06,01,01,01,00102,0055,3591633,1,11,2108,2,0.25
06,01,01,01,00102,0056,3591628,1,11,2108,2,0.25
06,01,01,01,00102,0057,3591634,1,8,2620,2,1.0
06,01,01,01,00102,0057,3591634,2,11,2108,2,0.5
06,01,01,01,00102,0058,3591631,1,11,2108,2,0.5
06,01,01,01,00102,0060,3591623,1,8,2620,2,0.25
06,01,01,01,00102,0061,3591630,1,11,2108,2,0.5
06,01,01,01,00102,0067,3591625,1,10,2107,2,0.05
06,01,01,01,00102,0068,3205400,1,12,2108,2,0.5
06,01,01,01,00102,0070,3205397,1,8,2620,2,0.25
06,01,01,01,00102,0071,3205399,1,11,2108,2,0.25
06,01,01,01,00102,0072,3205396,1,11,2107,2,1.0
06,01,01,01,00102,0073,3205394,1,11,2107,2,0.25
06,01,01,01,00102,0074,3205393,1,1,2108,2,1.5
06,01,01,01,00102,0074,3205393,2,12,2620,2,1.0
06,01,01,01,00102,0076,3205390,1,11,2107,2,0.125
06,01,01,01,00102,0076,3205390,2,4,2401,2,0.5
06,01,01,01,00102,0077,3205387,1,11,2108,2,1.0
06,01,01,01,00102,0078,3205384,1,11,2620,2,0.5
06,01,01,01,00102,0078,3205384,2,11,2110,2,0.5
06,01,01,01,00102,0078,3205384,3,10,2107,2,0.5
06,01,01,01,00102,0079,3205383,1,11,2108,2,1.0
06,01,01,01,00102,0080,3205800,1,11,2107,2,0.25
06,01,01,01,00102,0081,3205754,1,11,2108,2,0.25
06,01,01,01,00102,0082,3591627,1,11,2108,2,0.25
06,01,01,01,00102,0083,3205395,1,11,2108,2,0.5
06,01,01,01,00102,0084,3205742,1,11,2108,2,1.0
06,01,01,01,00102,0086,3205760,1,11,2108,2,0.5
06,01,01,01,00102,0086,3205760,2,11,2602,2,0.25
06,01,01,01,00102,0086,3205760,3,10,2401,2,0.25
06,01,01,01,00102,0088,3205757,1,11,2501,2,0.25
06,01,01,01,00102,0091,3205388,1,11,2108,2,0.5
06,01,01,01,00102,0092,3205389,1,11,2401,2,0.5
06,01,01,01,00102,0092,3205389,2,11,2108,2,1.5
06,01,01,01,00102,0093,3205741,1,11,2108,2,0.25
06,01,01,01,00102,0093,3205741,2,5,2602,2,0.25
06,01,01,01,00102,0093,3205741,3,11,2107,2,0.25
06,01,01,01,00102,0094,3205753,1,11,2107,2,0.5
06,01,01,01,00102,0095,3205751,1,1,2401,2,0.5
06,01,01,01,00102,0096,3205759,1,11,2107,2,0.25
06,01,01,01,00102,0099,3205786,1,10,2614,2,0.5
06,01,01,01,00102,0100,3205788,1,11,2108,2,0.25
06,01,01,01,00102,0101,3205746,1,11,2109,2,0.5
06,01,01,01,00102,0101,3205746,2,11,2401,2,0.25
06,01,01,01,00102,0101,3205746,3,11,2343,2,0.25
06,01,01,01,00102,0102,3205750,1,7,2614,2,0.5
06,01,01,01,00102,0103,3205748,1,11,2109,2,0.25
06,01,01,01,00102,0103,3205748,2,11,2401,2,0.25
06,01,01,01,00102,0104,3205789,1,11,2110,2,0.25
06,01,01,01,00102,0105,3205790,1,10,2401,2,0.5
06,01,01,01,00102,0106,3205791,1,11,2108,2,0.25
06,01,01,01,00102,0107,3205782,1,11,2108,2,0.5
06,01,01,01,00102,0108,3205781,1,11,2108,2,0.5
06,01,01,01,00102,0108,3205781,2,10,2401,2,0.5
06,01,01,01,00102,0109,3205743,1,11,2107,2,0.5
06,01,01,01,00102,0109,3205743,2,11,2109,2,0.5
06,01,01,01,00102,0111,3205745,1,11,2108,2,0.5
06,01,01,01,00102,0111,3205745,2,11,2109,2,0.5
06,01,01,01,00102,0112,3205787,1,8,2614,2,0.25
06,01,01,01,00102,0113,3205785,1,11,2343,2,0.25
06,01,01,01,00102,0113,3205785,2,11,2108,2,0.25
06,01,01,01,00102,0115,3205793,1,5,2401,2,1.0
06,01,01,01,00102,0115,3205793,2,10,2109,2,0.5
06,01,01,01,00102,0115,3205793,3,10,2108,2,0.5
06,01,01,01,00102,0115,3205793,4,6,2343,2,0.5
06,01,01,01,00102,0115,3205793,5,8,2614,2,1.0
06,01,01,01,00102,0116,3205784,1,11,2109,2,0.5
06,01,01,01,00102,0117,3205783,1,12,2319,2,0.25
06,01,01,01,00102,0118,0244703,1,11,2110,2,0.01
06,01,01,01,00102,0119,0244704,1,11,2706,2,0.5
06,01,01,01,00102,0120,2869885,1,11,2706,2,0.5
06,01,01,01,00102,0121,2869886,1,11,2108,2,0.25
06,01,01,01,00102,0122,2869884,1,11,2503,2,1.0
06,01,01,01,00102,0122,2869884,2,11,2110,2,1.0
06,01,01,01,00102,0123,3205752,1,11,2108,2,0.5
06,01,01,01,00102,0126,3340470,1,10,2108,2,0.2
06,01,01,01,00102,0126,3340470,2,10,2401,2,0.2
06,01,01,01,00102,0128,2869887,1,11,2108,2,1.0
06,01,01,01,00102,0129,3205796,1,11,2108,2,0.5
