TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P023_01,P023_04,P023_07
02,01,01,14,00200,0071,3360735,1,3.0,220802
02,01,01,14,00200,0087,3360707,1,2.0,010609
02,01,01,15,00101,0006,3205670,1,20.0,130305
02,01,01,15,00101,0062,3200627,1,18.0,010113
02,01,01,15,00101,0066,3200630,1,15.0,010110
02,01,01,15,00101,0071,3200631,1,2.0,010517
02,01,01,15,00101,0089,3200666,1,15.0,010110
02,01,01,15,00102,0037,3200648,1,2.0,010110
02,01,01,15,00102,0042,3200660,1,14.0,010110
02,01,01,15,00102,0055,3205679,1,0.25,010113
02,01,01,16,00100,0006,3200711,2,0.04,010101
02,01,01,16,00100,0006,3200711,1,0.02,010301
02,01,01,16,00100,0007,2772327,1,1.5,010102
02,01,01,16,00100,0007,2772327,2,0.002,010301
02,01,01,16,00100,0011,3205698,1,2.25,010301
02,01,01,16,00100,0012,3200719,1,0.004,010301
02,01,01,16,00100,0016,3200707,1,20.0,010102
02,01,01,16,00100,0028,2869745,1,10.0,010102
02,01,01,16,00100,0031,3200716,1,8.0,010102
02,01,01,16,00100,0039,2772359,1,0.25,010301
02,01,01,16,00100,0040,3200715,1,0.012,010301
02,01,01,16,00100,0057,2869738,1,6.0,010102
02,01,01,16,00100,0071,2869755,1,0.0025,010301
02,01,01,16,00100,0075,3205688,1,2.0,220104
02,01,01,16,00100,0078,2958622,1,10.0,010114
02,01,01,16,00100,0095,3205687,1,8.0,010701
02,01,01,16,00100,0100,3200704,1,14.0,010117
02,01,01,16,00100,0101,2957400,1,0.009,010101
02,01,01,16,00100,0101,2957400,2,0.0132,140101
02,01,01,17,00100,0001,3206601,2,1.0,220805
02,01,01,17,00100,0001,3206601,1,2.0,220805
02,01,01,17,00100,0004,3206604,1,1.0,010607
02,01,01,17,00100,0043,3205086,1,20.0,010105
02,01,01,17,00100,0045,3205088,1,8.0,010105
02,01,01,17,00100,0052,3205095,1,60.0,010105
02,01,01,17,00100,0070,3203598,1,4.0,010105
02,01,01,17,00100,0074,3206622,1,1.5,010118
02,01,01,17,00100,0085,3206634,1,16.0,010105
02,01,01,17,00100,0086,3206635,1,0.5,010105
02,01,01,17,00100,0087,3206636,1,8.0,010105
02,01,01,17,00200,0002,2762920,1,14.0,010105
02,01,01,17,00200,0023,2763687,1,2.0,010609
02,01,01,17,00200,0032,2763684,1,0.5,010609
02,01,01,17,00200,0044,2765285,1,8.0,010609
02,01,01,17,00200,0052,2765298,1,1.0,220101
02,01,01,17,00200,0065,2765297,1,1.0,220101
02,01,01,17,00200,0096,2763702,1,30.0,010116
02,01,01,17,00200,0103,3205066,1,8.0,010116
02,01,01,17,00300,0012,2762922,1,6.0,010116
02,01,01,17,00300,0012,2762922,3,2.0,010116
02,01,01,17,00300,0012,2762922,2,50.0,010116
02,01,01,17,00300,0015,2765313,1,2.0,010105
02,01,01,17,00300,0015,2765313,2,15.0,010105
02,01,01,17,00300,0015,2765313,3,13.0,010105
02,01,01,17,00300,0020,2765320,1,14.0,010114
02,01,01,17,00300,0026,2765310,1,5.0,010114
02,01,01,17,00300,0028,2762926,1,6.0,010116
02,01,01,17,00300,0035,2765307,1,10.0,010116
02,01,01,17,00300,0035,2765307,2,10.0,010114
02,01,01,17,00300,0036,2765311,1,35.0,010609
02,01,01,17,00300,0041,3205045,1,25.0,010105
02,01,01,17,00300,0049,3205043,1,6.0,010118
02,01,01,17,00300,0050,2765312,1,4.0,010116
02,01,01,18,00100,0001,2958256,1,2.0,010117
02,01,01,18,00100,0005,3204905,1,98.0,010606
02,01,01,18,00100,0007,2958248,1,1.5,010120
02,01,01,18,00100,0012,2958245,1,15.0,010120
02,01,01,18,00100,0013,3204915,1,12.0,010120
02,01,01,18,00100,0021,3204925,1,1.0,010104
02,01,01,18,00100,0022,2958808,1,10.0,010117
02,01,01,18,00100,0027,2958820,1,4.0,010114
02,01,01,18,00100,0035,2958350,1,12.0,010114
02,01,01,18,00100,0044,2958358,1,15.0,010120
02,01,01,18,00100,0045,2958255,1,5.0,010121
02,01,01,18,00100,0049,2958344,1,3.0,010120
02,01,01,18,00100,0052,2958346,1,14.0,010120
02,01,01,18,00100,0055,3204906,1,46.0,010120
02,01,01,18,00100,0058,2772316,1,50.0,010105
02,01,01,18,00100,0062,3204907,1,20.0,010120
02,01,01,18,00100,0064,2958241,1,0.75,010501
02,01,01,18,00100,0085,3204938,1,20.0,010104
02,01,01,18,00100,0096,3204903,1,15.0,010120
02,01,01,18,00100,0102,3204927,1,8.0,010609
02,01,01,19,00101,0040,3204844,1,3.0,010609
02,01,01,19,00101,0055,3204866,1,3.0,220105
02,01,01,19,00101,0078,1820313,1,0.25,010111
02,01,01,19,00101,0115,3202704,2,1.0,010110
02,01,01,19,00101,0115,3202704,1,8.0,010110
02,01,01,19,00102,0016,2939876,1,5.0,010112
02,01,01,19,00102,0021,2939880,1,1.0,010609
02,01,01,19,00102,0022,2939881,1,4.0,010112
02,01,01,19,00102,0027,2939886,2,1.0,010113
02,01,01,19,00102,0027,2939886,1,1.0,010113
02,01,01,19,00102,0031,3206716,1,0.25,010112
02,01,01,19,00102,0034,2939892,1,0.25,010112
02,01,01,19,00102,0036,3202699,2,0.25,010112
02,01,01,19,00102,0036,3202699,1,0.25,010112
02,01,01,19,00102,0050,3202687,4,1.0,010112
02,01,01,19,00102,0050,3202687,3,1.0,010112
02,01,01,19,00102,0050,3202687,5,1.0,010112
02,01,01,19,00102,0050,3202687,1,1.0,010112
02,01,01,19,00102,0050,3202687,2,1.0,010112
02,01,01,19,00102,0051,3202688,1,2.5,010112
02,01,01,19,00102,0051,3202688,2,2.5,010112
02,01,01,19,00102,0054,3202691,2,4.0,010112
02,01,01,19,00102,0054,3202691,1,1.0,010112
02,01,01,19,00102,0054,3202691,3,4.0,010112
02,01,01,19,00102,0064,3206703,1,2.0,010101
02,01,01,19,00102,0065,3206704,2,20.0,010514
02,01,01,19,00102,0065,3206704,3,0.5,010509
02,01,01,19,00102,0065,3206704,1,20.0,010521
02,01,01,19,00102,0066,3206705,2,35.0,010112
02,01,01,19,00102,0066,3206705,3,8.0,010112
02,01,01,19,00102,0066,3206705,4,10.0,010112
02,01,01,19,00102,0066,3206705,1,1.0,010504
02,01,01,19,00102,0066,3206705,5,0.75,010504
02,01,01,19,00102,0066,3206705,6,10.0,010112
02,01,01,19,00102,0067,3206706,4,2.0,010112
02,01,01,19,00102,0067,3206706,2,0.5,010112
02,01,01,19,00102,0067,3206706,5,0.5,010112
02,01,01,19,00102,0067,3206706,1,4.0,010112
02,01,01,19,00102,0067,3206706,3,1.5,010112
02,01,01,20,00101,0023,3368933,1,3.0,010606
02,01,01,20,00101,0049,3368819,1,4.0,010117
02,01,01,20,00101,0049,3368819,2,50.0,010609
02,01,01,20,00101,0054,3368813,1,5.0,010602
02,01,01,20,00101,0059,3368807,1,70.0,010522
02,01,01,20,00102,0101,3361882,1,20.0,010104
02,01,01,20,00102,0134,3341451,1,25.0,010105
02,01,01,20,00200,0002,3363519,1,5.0,010609
02,01,01,20,00200,0027,3363239,1,2.5,010118
02,01,01,20,00200,0069,3363423,1,2.0,010104
02,01,01,20,00200,0076,3363044,1,20.0,010104
02,01,01,20,00200,0077,3363045,1,7.0,010104
02,01,01,20,00200,0077,3363045,2,18.0,010104
02,01,01,20,00200,0083,3363430,1,2.0,010104
02,01,01,20,00300,0001,3363057,1,50.0,010118
02,01,01,20,00300,0006,3361987,1,2.0,010514
02,01,01,20,00300,0017,3363053,1,0.25,010118
02,01,01,20,00300,0031,3363429,1,0.1,010101
02,01,01,20,00300,0033,3363086,1,9.0,010514
02,01,01,20,00300,0041,3363096,1,1.0,010602
02,01,01,20,00400,0001,3363200,1,3.5,010603
02,01,01,20,00400,0003,3363183,1,2.0,010606
02,01,01,20,00400,0005,3363199,1,2.75,010606
02,01,01,20,00400,0005,3363199,2,1.0,010606
02,01,01,20,00400,0008,3363580,1,2.0,010603
02,01,01,20,00400,0008,3363580,2,2.0,010603
02,01,01,20,00400,0014,3363561,1,30.0,010606
02,01,01,20,00400,0015,3363577,1,1.0,010606
02,01,01,20,00400,0021,3363187,1,2.0,010606
02,01,01,20,00400,0021,3363187,3,4.0,010606
02,01,01,20,00400,0021,3363187,2,0.5,010606
02,01,01,20,00400,0022,3363188,1,0.25,010606
02,01,01,20,00400,0023,3363189,1,0.5,010606
02,01,01,20,00400,0024,3363568,1,1.0,010606
02,01,01,20,00400,0025,3363574,1,1.0,010606
02,01,01,20,00400,0025,3363574,2,1.0,010606
02,01,01,20,00400,0027,3363567,1,2.0,010606
02,01,01,20,00400,0027,3363567,2,1.0,010606
02,01,01,20,00400,0027,3363567,3,1.0,010606
02,01,01,20,00400,0028,3363573,1,3.0,010606
